,Unnamed: 0,Gene,variance,SD
2018,2018,C5,0.036840089,0.191937722
2021,2021,C5orf15,0.03844537,0.196074909
2022,2022,C5orf22,0.036420239,0.190840873
2024,2024,C5orf34,0.034339929,0.185310358
2030,2030,C5orf52,0.03749536,0.193637186
2035,2035,C6,0.036643726,0.191425509
2038,2038,C6orf132,0.036097104,0.18999238
2039,2039,C6orf136,0.034953014,0.186957251
2040,2040,C6orf141,0.037629207,0.193982492
2069,2069,C8orf76,0.039485187,0.198708799
2082,2082,C9orf40,0.035565302,0.18858765
2090,2090,C9orf85,0.038419698,0.196009433
2107,2107,CA9,0.035011268,0.187112981
2108,2108,CAAP1,0.03630129,0.190528974
2111,2111,CABIN1,0.036873609,0.192025021
2123,2123,CACNA1A,0.038853631,0.197113244
2127,2127,CACNA1C-AS2,0.034484318,0.185699537
2134,2134,CACNA1G,0.036396946,0.190779836
2140,2140,CACNA2D2,0.03325009,0.182346073
2141,2141,CACNA2D3,0.037501131,0.193652086
2152,2152,CACNG5,0.034409828,0.185498863
2169,2169,CAGE1,0.039716231,0.199289314
2178,2178,CALCRL,0.036457445,0.190938326
2191,2191,CALN1,0.035029335,0.187161255
2197,2197,CAMK1D,0.035199202,0.187614503
2200,2200,CAMK2B,0.032891369,0.181359779
2202,2202,CAMK2G,0.032766224,0.181014431
2218,2218,CAND1.11,0.034317534,0.185249923
2219,2219,CAND2,0.036969269,0.192273942
2223,2223,CAP2,0.038053571,0.195073246
2225,2225,CAPN1,0.035619961,0.188732512
2227,2227,CAPN11,0.039793962,0.199484241
2228,2228,CAPN12,0.038560586,0.196368497
2232,2232,CAPN2,0.032690172,0.180804237
2234,2234,CAPN5,0.039339551,0.198342006
2237,2237,CAPN8,0.033997661,0.184384546
2250,2250,CARD10,0.037846106,0.194540757
2253,2253,CARD16,0.034917257,0.186861599
2258,2258,CARD9,0.037665154,0.194075124
2260,2260,CARHSP1,0.039618946,0.199045085
2265,2265,CASC11,0.037264321,0.193039687
2276,2276,CASC9,0.036393157,0.190769907
2279,2279,CASKIN1,0.033842581,0.183963531
2287,2287,CASP4,0.036483839,0.191007433
2289,2289,CASP6,0.039612324,0.199028449
2298,2298,CAST,0.035083658,0.187306322
2299,2299,CASZ1,0.038291152,0.19568125
2301,2301,CATIP,0.03601792,0.189783876
2310,2310,CATSPERG,0.035547489,0.188540419
2312,2312,CAV2,0.037313499,0.193167025
2328,2328,CBR4,0.037636409,0.194001055
2329,2329,CBS,0.032428989,0.180080508
2330,2330,CBWD1,0.034237231,0.185033055
2337,2337,CBX3,0.036333484,0.19061344
2357,2357,CCDC103,0.038969769,0.19740762
2363,2363,CCDC113,0.036466435,0.190961869
2364,2364,CCDC115,0.035366069,0.188058686
2370,2370,CCDC122,0.039987719,0.199969295
2375,2375,CCDC13,0.033955008,0.184268846
2381,2381,CCDC14,0.035580227,0.188627218
2387,2387,CCDC144CP,0.035050272,0.187217178
2391,2391,CCDC148-AS1,0.036186905,0.190228561
2396,2396,CCDC153,0.03458492,0.185970213
2397,2397,CCDC154,0.038662511,0.196627849
2398,2398,CCDC157,0.034829714,0.186627205
