,Unnamed: 0,Gene,variance,SD
2280,2280,CASKIN2,0.09277861,0.304595814
2290,2290,CASP7,0.135851846,0.368580854
2296,2296,CASR,0.119023235,0.344997442
2302,2302,CATIP-AS1,0.0864303,0.293990306
2303,2303,CATSPER1,0.215164811,0.463858611
2307,2307,CATSPER4,0.141423718,0.37606345
2332,2332,CBWD3,0.102661279,0.320407989
2343,2343,CBX8,0.09144567,0.302399851
2368,2368,CCDC120,0.154078002,0.392527708
2413,2413,CCDC174,0.114985703,0.339095419
2418,2418,CCDC18,0.086488533,0.294089328
2427,2427,CCDC24,0.206336161,0.454242403
2432,2432,CCDC3,0.147601888,0.384189911
2439,2439,CCDC42,0.149759007,0.386987088
2450,2450,CCDC62,0.12395468,0.352071981
2453,2453,CCDC66,0.134935064,0.367335085
2457,2457,CCDC70,0.172301046,0.415091611
2478,2478,CCDC89,0.178640758,0.422659151
2485,2485,CCDC97,0.144134229,0.379650141
2499,2499,CCL16,0.143006385,0.378161851
2500,2500,CCL17,0.146958601,0.383351797
2501,2501,CCL18,0.171426456,0.414036781
2502,2502,CCL19,0.129561886,0.359947061
2503,2503,CCL2,0.224343521,0.473649154
2509,2509,CCL25,0.178350716,0.422315896
2533,2533,CCND3,0.103303111,0.321408013
2553,2553,CCNYL1,0.206951188,0.454918881
2569,2569,CCSAP,0.092402974,0.303978576
2574,2574,CCT4,0.187241182,0.432713741
2575,2575,CCT5,0.096824481,0.311166323
2582,2582,CCT8L2,0.200850273,0.448163222
2583,2583,CCZ1,0.093045751,0.305034016
2588,2588,CD151,0.091099364,0.301826711
2594,2594,CD177,0.108965444,0.330099143
2595,2595,CD180,0.145241765,0.381105977
2616,2616,CD274,0.128129155,0.35795133
2626,2626,CD300LF,0.174784061,0.418071837
2640,2640,CD40LG,0.087205865,0.295306392
2652,2652,CD6,0.087271418,0.295417362
2653,2653,CD63,0.088043327,0.296720959
2660,2660,CD79A,0.211839515,0.460260269
2663,2663,CD81,0.105520923,0.324839842
2665,2665,CD82,0.085349286,0.292146
2667,2667,CD84,0.11850124,0.344240091
2669,2669,CD8A,0.09918602,0.314938121
2671,2671,CD9,0.145356126,0.381255985
2673,2673,CD96,0.186156257,0.431458291
2702,2702,CDC42EP2,0.130510128,0.361261856
2714,2714,CDCA2,0.150467973,0.387902015
2746,2746,CDHR1,0.103387262,0.321538897
2750,2750,CDHR5,0.147295288,0.383790683
2758,2758,CDK13,0.090693912,0.3011543
2768,2768,CDK2AP2,0.092626228,0.304345574
2794,2794,CDKN2B-AS1,0.21438424,0.463016458
2810,2810,CDRT4,0.096523888,0.310682938
2813,2813,CDS1,0.129564389,0.359950537
2815,2815,CDSN,0.193653673,0.440060988
2822,2822,CDY1B,0.20470849,0.452447224
2828,2828,CEACAM16,0.103250074,0.321325496
2840,2840,CEBPA,0.087428994,0.295683943
2849,2849,CECR7,0.121817475,0.349023603
2850,2850,CEL,0.14710705,0.383545369
2864,2864,CELSR1,0.08936516,0.298940061
2879,2879,CENPJ,0.148046535,0.384768157
2882,2882,CENPM,0.088426917,0.297366637
2883,2883,CENPN,0.200173325,0.447407337
2886,2886,CENPQ,0.085735673,0.292806545
2888,2888,CENPU,0.183531186,0.428405399
2892,2892,CEP112,0.152086259,0.389982384
2907,2907,CEP350,0.107985757,0.328611864
2919,2919,CEP83,0.149944373,0.387226514
2920,2920,CEP85,0.113967157,0.337590221
2924,2924,CEP97,0.094251378,0.307003873
2926,2926,CER1,0.107630674,0.328071141
2929,2929,CERKL,0.146813305,0.383162244
2956,2956,CFHR1,0.224848616,0.47418205
2970,2970,CGB1,0.085262249,0.291997001
2972,2972,CGB5,0.120539334,0.34718775
2977,2977,CGNL1,0.117961393,0.343455082
2981,2981,CHAC1,0.119177247,0.345220577
2988,2988,CHAT,0.20557344,0.453402074
3002,3002,CHD5,0.164584129,0.405689695
3006,3006,CHD9,0.127737073,0.357403235
