,Gene,variance,SD
397,AFTPH,0.002848706,0.053373271
398,AGA,0.005917392,0.076924586
399,AGAP1,0.003439368,0.058646123
400,AGAP11,0.011188562,0.105775998
401,AGAP2,0.003277856,0.057252567
402,AGAP2-AS1,0.00192875,0.043917536
403,AGAP3,0.006561746,0.081004604
404,AGAP4,0.024505455,0.156542183
405,AGAP5,0.023134681,0.152100892
406,AGAP6,0.011261659,0.106120962
407,AGAP9,0.022879847,0.151260859
408,AGBL1,0.016729334,0.129341928
409,AGBL1-AS1,0.005374561,0.073311394
410,AGBL2,0.00616523,0.078518975
411,AGBL3,0.005896309,0.076787428
412,AGBL4,0.005045964,0.071034947
413,AGBL4-IT1,0.019834418,0.140834719
414,AGBL5,0.009350784,0.096699454
415,AGBL5-AS1,0.012322012,0.111004559
416,AGER,0.006384658,0.079904057
417,AGFG1,0.007245647,0.085121363
418,AGFG2,0.005052292,0.071079473
419,AGGF1,0.026452623,0.162642623
420,AGK,0.001942171,0.044070068
421,AGL,0.014761997,0.121498958
422,AGMAT,0.003897642,0.062431101
423,AGMO,0.002285866,0.047810735
424,AGO1,0.002151345,0.046382589
425,AGO2,0.004503527,0.067108323
426,AGO3,0.003981438,0.063098634
427,AGO4,0.00694686,0.083347828
428,AGPAT1,0.007081247,0.084150143
429,AGPAT2,0.004106194,0.064079594
430,AGPAT3,0.004267388,0.065325251
431,AGPAT4,0.004694159,0.068513931
432,AGPAT4-IT1,0.002495,0.049949973
433,AGPAT5,0.002346805,0.048443837
434,AGPS,0.002784494,0.052768304
435,AGR2,0.008974734,0.094735072
436,AGR3,0.004737449,0.068829126
437,AGRN,0.00615163,0.078432325
438,AGRP,0.009876881,0.099382501
439,AGT,0.00391661,0.062582829
440,AGTPBP1,0.003917623,0.062590921
441,AGTR1,0.006862258,0.082838747
442,AGTR2,0.009600758,0.097983456
443,AGTRAP,0.00931613,0.096520104
444,AGXT,0.012293535,0.110876215
445,AGXT2,0.005073756,0.0712303
446,AHCTF1,0.010129256,0.100644204
447,AHCTF1P1,0.004540472,0.067383027
448,AHCY,0.005681881,0.075378251
449,AHCYL1,0.008610852,0.092794678
450,AHCYL2,0.005339851,0.073074284
451,AHDC1,0.004532532,0.067324085
452,AHI1,0.008000328,0.08944455
453,AHNAK,0.003473574,0.058937034
454,AHNAK2,0.007864654,0.088682883
455,AHR,0.030362967,0.174249726
456,AHRR,0.006729526,0.082033686
457,AHSA1,0.008535866,0.092389752
458,AHSG,0.0127867,0.113078291
459,AHSP,0.007583077,0.087080866
460,AICDA,0.005337189,0.07305607
461,AIDA,0.002363469,0.048615524
462,AIF1,0.008633949,0.092919044
463,AIF1L,0.005459156,0.073886101
464,AIFM1,0.006626572,0.081403761
465,AIFM2,0.006388064,0.079925364
466,AIFM3,0.004554692,0.067488457
467,AIG1,0.002766499,0.052597522
468,AIM2,0.00505308,0.07108502
469,AIMP1,0.005396919,0.073463722
470,AIMP2,0.005185066,0.072007399
471,AIP,0.003099065,0.055669246
472,AIPL1,0.0091705,0.09576273
473,AIRE,0.002139295,0.046252516
474,AIRN,0.005056764,0.071110925
475,AJAP1,0.007325423,0.085588684
476,AJUBA,0.00605575,0.077818701
477,AK1,0.003787504,0.061542699
478,AK2,0.005621927,0.074979511
479,AK3,0.00888935,0.094283348
480,AK4,0.004619293,0.06796538
481,AK5,0.004448505,0.066697114
482,AK6,0.007425266,0.086169984
483,AK7,0.008638683,0.092944515
484,AK8,0.010276019,0.101370701
485,AK9,0.009973265,0.099866234
486,AKAP1,0.006678153,0.081719969
487,AKAP10,0.005691044,0.075439008
488,AKAP11,0.006538299,0.080859747
489,AKAP12,0.007286557,0.085361331
490,AKAP13,0.005406974,0.073532131
491,AKAP14,0.006187351,0.07865972
492,AKAP17A,0.0065584,0.080983949
493,AKAP3,0.010667267,0.103282463
494,AKAP4,0.009751306,0.098748704
495,AKAP5,0.003785864,0.061529376
496,AKAP6,0.020553728,0.143365713
497,AKAP7,0.003451316,0.058747898
498,AKAP8,0.005914893,0.076908342
499,AKAP8L,0.005820136,0.076289814
500,AKAP9,0.002638306,0.051364439
501,AKIP1,0.003675419,0.060625231
