,Unnamed: 0,Gene,variance,SD
838,838,AP4S1,0.004408378,0.066395616
839,839,AP5B1,0.003828539,0.061875186
844,844,APBA1,0.004812796,0.069374321
846,846,APBA3,0.006318305,0.079487767
847,847,APBB1,0.002999447,0.054767211
849,849,APBB2,0.003159306,0.056207705
852,852,APC2,0.002972939,0.054524662
855,855,APCS,0.003333819,0.057739237
859,859,APEX2,0.003550197,0.059583528
862,862,API5,0.004843994,0.069598808
863,863,APIP,0.004825117,0.069463063
865,865,APLN,0.004050192,0.063641117
866,866,APLNR,0.004800706,0.06928713
867,867,APLP1,0.005358551,0.073202122
868,868,APLP2,0.00465936,0.068259506
870,870,APOA1,0.003048132,0.055209889
873,873,APOA5,0.004929474,0.070210215
874,874,APOB,0.00635139,0.079695606
875,875,APOBEC1,0.006341056,0.079630746
877,877,APOBEC3A,0.005757894,0.075880788
878,878,APOBEC3A_B,0.005120716,0.07155918
879,879,APOBEC3B,0.003314239,0.05756943
880,880,APOBEC3B-AS1,0.006107187,0.078148495
881,881,APOBEC3C,0.003971669,0.063021182
882,882,APOBEC3D,0.004368313,0.066093216
883,883,APOBEC3F,0.003464611,0.058860943
884,884,APOBEC3G,0.003608376,0.060069763
885,885,APOBEC3H,0.004209842,0.064883292
886,886,APOBEC4,0.0046675,0.068319102
888,888,APOC1,0.006000472,0.077462712
892,892,APOC4,0.004156175,0.0644684
894,894,APOD,0.006135133,0.078327089
895,895,APOE,0.004135491,0.06430778
897,897,APOH,0.00610356,0.078125286
898,898,APOL1,0.004042082,0.06357737
899,899,APOL2,0.005792525,0.076108639
904,904,APOLD1,0.006144403,0.07838624
907,907,APOOL,0.005322831,0.072957737
908,908,APOOP5,0.006466068,0.080411865
909,909,APP,0.003277744,0.057251583
912,912,APPL2,0.004560826,0.067533884
918,918,AQP11,0.006035951,0.077691385
921,921,AQP2,0.004609784,0.06789539
923,923,AQP4,0.004272857,0.065367095
925,925,AQP5,0.004351329,0.065964606
926,926,AQP6,0.005495649,0.074132647
930,930,AQP8,0.004643171,0.068140814
931,931,AQP9,0.004046609,0.063612961
937,937,ARAP3,0.003736155,0.061124092
938,938,ARC,0.004837647,0.069553199
941,941,AREL1,0.004648367,0.068178936
942,942,ARF1,0.004911729,0.070083725
943,943,ARF3,0.003410674,0.058400979
944,944,ARF4,0.00356584,0.059714657
945,945,ARF5,0.003055221,0.055274051
946,946,ARF6,0.005526664,0.074341537
954,954,ARFRP1,0.004257108,0.065246516
955,955,ARG1,0.00459795,0.067808185
956,956,ARG2,0.003749302,0.061231541
957,957,ARGFX,0.00324318,0.056948926
963,963,ARHGAP11B,0.004114426,0.064143792
964,964,ARHGAP12,0.004244227,0.06514773
965,965,ARHGAP15,0.003763833,0.061350089
967,967,ARHGAP18,0.005032996,0.070943612
969,969,ARHGAP19-SLIT1,0.003766712,0.061373542
970,970,ARHGAP20,0.005237981,0.072373899
971,971,ARHGAP21,0.003377938,0.058120027
972,972,ARHGAP22,0.003749836,0.061235901
976,976,ARHGAP26,0.005820597,0.076292839
977,977,ARHGAP26-AS1,0.005417439,0.073603253
978,978,ARHGAP27,0.006498476,0.080613125
979,979,ARHGAP28,0.005094466,0.071375527
980,980,ARHGAP29,0.003235875,0.056884756
981,981,ARHGAP30,0.004526234,0.067277295
982,982,ARHGAP31,0.00577637,0.076002435
984,984,ARHGAP33,0.003336244,0.05776023
985,985,ARHGAP35,0.004267243,0.065324137
988,988,ARHGAP4,0.003927879,0.062672792
990,990,ARHGAP42,0.005823457,0.076311577
991,991,ARHGAP44,0.004529394,0.067300773
992,992,ARHGAP5,0.005670977,0.075305888
993,993,ARHGAP5-AS1,0.004945891,0.070327025
996,996,ARHGAP9,0.004436692,0.066608502
997,997,ARHGDIA,0.004155589,0.06446386
1000,1000,ARHGEF1,0.003976352,0.063058324
1001,1001,ARHGEF10,0.00568382,0.075391112
1003,1003,ARHGEF11,0.002974173,0.054535983
1004,1004,ARHGEF12,0.005581535,0.07470967
1012,1012,ARHGEF26,0.003544801,0.059538235
1014,1014,ARHGEF28,0.00398794,0.063150137
1015,1015,ARHGEF3,0.004073152,0.063821251
1020,1020,ARHGEF37,0.005854121,0.076512227
1023,1023,ARHGEF39,0.003936167,0.062738883
1024,1024,ARHGEF4,0.003884085,0.062322424
1025,1025,ARHGEF40,0.004167671,0.064557502
1027,1027,ARHGEF6,0.003196827,0.056540486
1030,1030,ARHGEF9,0.005286138,0.072705834
1031,1031,ARHGEF9-IT1,0.006553945,0.08095644
1032,1032,ARID1A,0.004708523,0.068618679
1034,1034,ARID2,0.005348845,0.073135801
1038,1038,ARID4A,0.004579549,0.067672365
1041,1041,ARID5B,0.005036713,0.070969807
1042,1042,ARIH1,0.006370385,0.079814691
1043,1043,ARIH2,0.004983746,0.070595654
1045,1045,ARL1,0.006077328,0.077957221
1046,1046,ARL10,0.005515663,0.074267509
1047,1047,ARL11,0.003726338,0.061043738
1048,1048,ARL13A,0.005421739,0.073632462
1051,1051,ARL14EP,0.003103768,0.055711471
1052,1052,ARL14EPL,0.00317331,0.056332139
1054,1054,ARL16,0.005392748,0.073435334
1061,1061,ARL4A,0.003818475,0.061793809
1062,1062,ARL4C,0.004045646,0.063605389
1063,1063,ARL4D,0.003638219,0.060317655
1066,1066,ARL5C,0.0035714,0.059761194
1067,1067,ARL6,0.004874094,0.069814712
1069,1069,ARL6IP4,0.005658863,0.075225415
1071,1071,ARL6IP6,0.004005191,0.063286581
1073,1073,ARL8B,0.006177187,0.07859508
1077,1077,ARMC12,0.002971993,0.054515988
1081,1081,ARMC5,0.002974797,0.054541696
1082,1082,ARMC6,0.005266095,0.072567865
1084,1084,ARMC8,0.005283152,0.072685292
1086,1086,ARMCX1,0.005687765,0.075417275
1087,1087,ARMCX2,0.00629776,0.079358425
1088,1088,ARMCX3,0.005069759,0.071202241
