,Gene,variance,SD
5702,FBXO4,0.030905484,0.175799558
5703,FBXO40,0.018323986,0.135366119
5704,FBXO41,0.020907729,0.144595052
5705,FBXO42,0.010658606,0.103240527
5706,FBXO43,0.058465626,0.241796662
5707,FBXO44,0.018636899,0.13651703
5708,FBXO45,0.008874483,0.094204475
5709,FBXO46,0.039616789,0.199039667
5710,FBXO47,0.174405952,0.417619386
5711,FBXO48,0.188271369,0.433902488
5712,FBXO5,0.027734128,0.166535666
5713,FBXO6,0.057088767,0.238932557
5714,FBXO7,0.009649138,0.098230026
5715,FBXO8,0.028309831,0.168255256
5716,FBXO9,0.065061315,0.255071196
5717,FBXW10,0.024506505,0.156545535
5718,FBXW11,0.017919389,0.133863321
5719,FBXW12,0.014976607,0.122378947
5720,FBXW2,0.047401568,0.217719011
5721,FBXW4,0.03353382,0.183122418
5722,FBXW4P1,0.15754364,0.396917675
5723,FBXW5,0.054595107,0.233655959
5724,FBXW7,0.020140931,0.141918747
5725,FBXW8,0.059172128,0.243253218
5726,FBXW9,0.056494863,0.237686481
5727,FCAMR,0.034865797,0.186723853
5728,FCAR,0.05341136,0.231108978
5729,FCER1A,0.0442793,0.210426472
5730,FCER1G,0.189627634,0.435462552
5731,FCER2,0.036538198,0.191149675
5732,FCF1,0.009100515,0.095396619
5733,FCGBP,0.018447209,0.135820503
5734,FCGR1A,0.118002322,0.343514661
5735,FCGR1B,0.023777303,0.154198908
5736,FCGR2A,0.046182489,0.214901115
5737,FCGR2B,0.020162193,0.141993638
5738,FCGR2C,0.027308415,0.165252579
5739,FCGR3A,0.029168342,0.170787417
5740,FCGR3B,0.052158094,0.228381467
5741,FCGRT,0.061190175,0.247366479
5742,FCHO1,0.062788262,0.250575861
5743,FCHO2,0.041167598,0.202897998
5744,FCHSD1,0.032273018,0.179646926
5745,FCHSD2,0.046994287,0.216781658
5746,FCN1,0.025666038,0.160206236
5747,FCN2,0.058686758,0.2422535
5748,FCN3,0.053387798,0.231057997
5749,FCRL1,0.066839439,0.258533245
5750,FCRL2,0.058733251,0.242349439
5751,FCRL3,0.023394282,0.152951895
5752,FCRL4,0.074565804,0.273067399
5753,FCRL5,0.068589836,0.261896613
5754,FCRL6,0.042671255,0.206570217
5755,FCRLA,0.048928262,0.221197337
5756,FCRLB,0.051389353,0.2266922
5757,FDCSP,0.031962373,0.178780238
5758,FDFT1,0.075696738,0.275130401
5759,FDPS,0.037798552,0.194418496
5760,FDPSP2,0.023181656,0.152255232
5761,FDX1,0.041317867,0.203267967
5762,FDXACB1,0.032101227,0.179168152
5763,FDXR,0.048297011,0.219765809
5764,FECH,0.002335317,0.048325116
5765,FEM1A,0.056828888,0.238388104
5766,FEM1B,0.027584833,0.166086823
5767,FEM1C,0.079124797,0.281291303
5768,FEN1,0.037305877,0.193147294
5769,FENDRR,0.051423068,0.226766549
5770,FER,0.021052274,0.145094016
