,Unnamed: 0,Gene,variance,SD
87,87,ABHD1,0.020598747,0.143522637
88,88,ABHD10,0.020973045,0.144820733
89,89,ABHD11,0.061152761,0.247290842
90,90,ABHD12,0.034032662,0.184479435
91,91,ABHD12B,0.027029742,0.164407245
92,92,ABHD13,0.025436731,0.159488967
93,93,ABHD14A,0.043590877,0.208784284
94,94,ABHD14A-ACY1,0.034189587,0.184904264
95,95,ABHD14B,0.034112343,0.184695271
97,97,ABHD16A,0.029937318,0.173024038
98,98,ABHD16B,0.035274295,0.187814522
99,99,ABHD17A,0.061708305,0.248411564
100,100,ABHD17B,0.043489587,0.208541571
103,103,ABHD3,0.032466878,0.180185676
104,104,ABHD4,0.028694337,0.16939403
107,107,ABHD8,0.061607502,0.248208585
108,108,ABI1,0.054327515,0.233082635
109,109,ABI2,0.056816965,0.238363095
110,110,ABI3,0.027172607,0.164841157
111,111,ABI3BP,0.047412431,0.217743958
112,112,ABL1,0.06677796,0.258414318
114,114,ABLIM1,0.029910916,0.172947727
115,115,ABLIM2,0.071717801,0.267801794
116,116,ABLIM3,0.029844853,0.172756629
117,117,ABO,0.036727808,0.191645004
118,118,ABR,0.056989207,0.238724123
120,120,ABRACL,0.0531299,0.230499241
121,121,ABT1,0.051901183,0.227818311
123,123,ABTB2,0.045339659,0.212931114
124,124,ACAA1,0.040026954,0.200067374
125,125,ACAA2,0.047625973,0.218233757
128,128,ACAD10,0.054306539,0.233037634
131,131,ACAD9,0.02411089,0.155276819
132,132,ACADL,0.022262144,0.149205041
134,134,ACADS,0.043339381,0.208181126
136,136,ACADVL,0.060792475,0.246561301
137,137,ACAN,0.045949667,0.214358735
138,138,ACAP1,0.025000139,0.158114321
139,139,ACAP2,0.034957556,0.186969399
141,141,ACAT1,0.016306202,0.12769574
142,142,ACAT2,0.016598796,0.128836316
143,143,ACBD3,0.041053016,0.202615439
145,145,ACBD5,0.058181812,0.241209063
147,147,ACBD7,0.050506941,0.224737492
149,149,ACCSL,0.043698472,0.209041795
150,150,ACD,0.017756998,0.133255388
151,151,ACE,0.021229319,0.145702844
152,152,ACE2,0.05622117,0.237110037
153,153,ACER1,0.033061863,0.181829213
154,154,ACER2,0.047387597,0.217686925
155,155,ACER3,0.054993623,0.234507191
156,156,ACHE,0.02131943,0.146011745
157,157,ACIN1,0.028314116,0.168267989
158,158,ACKR1,0.028871356,0.169915733
160,160,ACKR3,0.04161868,0.204006569
161,161,ACKR4,0.04086077,0.202140471
162,162,ACLY,0.037261056,0.19303123
163,163,ACMSD,0.02367643,0.153871474
165,165,ACO2,0.027075615,0.164546696
166,166,ACOT1,0.026925614,0.164090263
168,168,ACOT12,0.02157256,0.146876001
169,169,ACOT13,0.026230889,0.161959529
170,170,ACOT2,0.02172935,0.147408784
171,171,ACOT4,0.025439646,0.159498108
172,172,ACOT6,0.066688694,0.258241542
174,174,ACOT8,0.052937422,0.230081337
175,175,ACOT9,0.06003478,0.245019959
176,176,ACOX1,0.039429294,0.198568108
177,177,ACOX2,0.019466926,0.139523927
178,178,ACOX3,0.020076075,0.141690066
179,179,ACOXL,0.05903723,0.242975782
180,180,ACP1,0.017669278,0.132925837
181,181,ACP2,0.02153491,0.146747776
182,182,ACP5,0.038478924,0.196160455
183,183,ACP6,0.039361979,0.198398536
185,185,ACRBP,0.036150669,0.190133292
186,186,ACRV1,0.030652655,0.175078997
187,187,ACSBG1,0.043395628,0.208316174
188,188,ACSBG2,0.060585078,0.246140362
189,189,ACSF2,0.052226682,0.228531577
190,190,ACSF3,0.033158248,0.182094063
193,193,ACSL4,0.049852361,0.223276424
194,194,ACSL5,0.034361551,0.185368688
196,196,ACSM1,0.043231499,0.207921859
197,197,ACSM2A,0.023259826,0.152511725
198,198,ACSM2B,0.032397652,0.179993478
199,199,ACSM3,0.075778374,0.275278721
200,200,ACSM4,0.034312359,0.185235954
201,201,ACSM5,0.045631617,0.213615582
202,202,ACSS1,0.033889351,0.184090607
203,203,ACSS2,0.033946174,0.184244876
205,205,ACTA1,0.028091488,0.167605154
207,207,ACTB,0.022234918,0.149113775
209,209,ACTC1,0.018768524,0.136998264
210,210,ACTG1,0.026037742,0.161362146
211,211,ACTG1P4,0.034636508,0.186108862
214,214,ACTL6A,0.032509305,0.18030337
215,215,ACTL6B,0.049548131,0.222594095
216,216,ACTL7A,0.073023917,0.270229379
217,217,ACTL7B,0.045037931,0.212221421
218,218,ACTL8,0.03362114,0.183360682
219,219,ACTL9,0.059325642,0.243568557
220,220,ACTN1,0.01519858,0.123282519
